,S.N,candidate_name,party_name,EVM Votes,Postal Votes,secured_votes,% of Votes,state_name,constituency_name,constituency_number
0,1,BISHNU PADA RAY,B,102182,254,102436,50.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
1,2,KULDEEP RAI SHARMA,I,77829,211,78040,38.54,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
2,3,MANOJ PAUL,A,8236,18,8254,4.08,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
3,4,D AYYAPPAN,C,6009,8,6017,2.97,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
4,5,V.K. ABDUL AZIZ,I,2195,8,2203,1.09,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
5,6,K J B SELVARAJ,A,911,3,914,0.45,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
6,7,DR ARUN KUMAR MALLIK,B,714,5,719,0.36,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
7,8,RINKU MALA MONDAL,I,539,3,542,0.27,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
8,9,K VENKAT RAM BABU,I,506,1,507,0.25,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
9,10,USHA KUMARI,I,378,2,380,0.19,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
10,11,SALAMAT MONDAL,S,349,2,351,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
11,12,ANAND RAMNATH ARLEKAR,I,342,-,342,0.17,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
12,13,NOTA,N,1802,7,1809,0.89,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
13,1,G M HARISH (BALAYOGI),T,786149,10832,796981,61.25,Andhra Pradesh,Amalapuram,7
14,2,RAPAKA VARAPRASADA RAO,Y,450362,4423,454785,34.95,Andhra Pradesh,Amalapuram,7
15,3,GOUTHAM JANGA,I,14523,559,15082,1.16,Andhra Pradesh,Amalapuram,7
16,4,DORABABU YALLA,B,5202,186,5388,0.41,Andhra Pradesh,Amalapuram,7
17,5,KATRU NAGA BABU,T,3736,5,3741,0.29,Andhra Pradesh,Amalapuram,7
18,6,VADDI LALITH KUMAR,I,2974,3,2977,0.23,Andhra Pradesh,Amalapuram,7
19,7,MAKEY DAVY PRASAD,I,2104,7,2111,0.16,Andhra Pradesh,Amalapuram,7
20,8,GUDE VENKATESWARULU,I,1741,4,1745,0.13,Andhra Pradesh,Amalapuram,7
21,9,RAMESH JILLELLA,J,866,6,872,0.07,Andhra Pradesh,Amalapuram,7
22,10,YALANGI RAMESH,J,738,2,740,0.06,Andhra Pradesh,Amalapuram,7
23,11,MATHA KRISHNA,P,718,1,719,0.06,Andhra Pradesh,Amalapuram,7
24,12,GIDDI JNANA PRAKASA RAO,R,717,9,726,0.06,Andhra Pradesh,Amalapuram,7
25,13,YADLA RAJESH,L,628,7,635,0.05,Andhra Pradesh,Amalapuram,7
26,14,KAPA KALYAN,R,579,2,581,0.04,Andhra Pradesh,Amalapuram,7
27,15,PATHURI RAMESH,P,502,3,505,0.04,Andhra Pradesh,Amalapuram,7
28,16,NOTA,N,13418,100,13518,1.04,Andhra Pradesh,Amalapuram,7
29,1,C.M.RAMESH,B,750027,12042,762069,57.5,Andhra Pradesh,Anakapalle,5
30,2,BUDI MUTYALA NAIDU,Y,459762,5777,465539,35.13,Andhra Pradesh,Anakapalle,5
31,3,VEGI VENKATESH,I,24833,818,25651,1.94,Andhra Pradesh,Anakapalle,5
32,4,PALAKA SREERAMA MURTHY,B,19082,75,19157,1.45,Andhra Pradesh,Anakapalle,5
33,5,VANKAYALA RAMACHANDRA RAO,I,4001,1,4002,0.3,Andhra Pradesh,Anakapalle,5
34,6,LOVARAJU SIDDHA,I,3845,7,3852,0.29,Andhra Pradesh,Anakapalle,5
35,7,KRISHNA SWAROOP VADLAMURI,D,3549,8,3557,0.27,Andhra Pradesh,Anakapalle,5
36,8,GARA SURYA RAO,I,3116,8,3124,0.24,Andhra Pradesh,Anakapalle,5
37,9,APPALA RAJU NAMMI,B,2589,30,2619,0.2,Andhra Pradesh,Anakapalle,5
38,10,NAGESWARA RAO PETLA,I,2179,5,2184,0.16,Andhra Pradesh,Anakapalle,5
39,11,ADARI SARAT CHANDRA,J,1886,27,1913,0.14,Andhra Pradesh,Anakapalle,5
40,12,VIJAYA LAKSHMI KARRI,P,1578,13,1591,0.12,Andhra Pradesh,Anakapalle,5
41,13,DR. THUMMAPALA HARI SHANKAR,I,1567,9,1576,0.12,Andhra Pradesh,Anakapalle,5
42,14,JUNNURI J SRINIVAS,I,1195,6,1201,0.09,Andhra Pradesh,Anakapalle,5
43,15,APPALANAIDU TUMMAGUNTA,I,1055,7,1062,0.08,Andhra Pradesh,Anakapalle,5
44,16,NOTA,N,26084,151,26235,1.98,Andhra Pradesh,Anakapalle,5
45,1,AMBICA G LAKSHMINARAYANA VALMIKI,T,755862,12383,768245,53.33,Andhra Pradesh,Ananthapur,19
46,2,MALAGUNDLA SANKAR NARAYANA,Y,573769,5921,579690,40.24,Andhra Pradesh,Ananthapur,19
47,3,MALLIKARJUNA VAJJALA,I,41954,1263,43217,3,Andhra Pradesh,Ananthapur,19
48,4,G.V.RAMANA REDDY,I,6436,3,6439,0.45,Andhra Pradesh,Ananthapur,19
49,5,BANASI NARAYANAPPA,B,6280,116,6396,0.44,Andhra Pradesh,Ananthapur,19
50,6,V.MURALI PRASAD REDDY,I,5775,3,5778,0.4,Andhra Pradesh,Ananthapur,19
51,7,DR.NALLANI RAMESH NAIDU,A,4862,127,4989,0.35,Andhra Pradesh,Ananthapur,19
52,8,M.SURENDRA,P,2927,8,2935,0.2,Andhra Pradesh,Ananthapur,19
53,9,U.C.VENKATASUBBAIAH,J,2533,7,2540,0.18,Andhra Pradesh,Ananthapur,19
54,10,P.CHOWDESWARI,I,1514,4,1518,0.11,Andhra Pradesh,Ananthapur,19
55,11,VADLA KESAVAIAH,I,1488,6,1494,0.1,Andhra Pradesh,Ananthapur,19
56,12,B.RAGHAVENDRA PRASAD,I,1317,1,1318,0.09,Andhra Pradesh,Ananthapur,19
57,13,KETHIREDDY RAGHUNATHAREDDY,I,1086,5,1091,0.08,Andhra Pradesh,Ananthapur,19
58,14,LOKANATH GOWD SURAGOWINI,I,1085,6,1091,0.08,Andhra Pradesh,Ananthapur,19
59,15,SREERANGARAJULA GOPINATH ROYAL,I,903,1,904,0.06,Andhra Pradesh,Ananthapur,19
60,16,SHAIK.NIZAM,S,749,4,753,0.05,Andhra Pradesh,Ananthapur,19
61,17,RAMAVTH CHINNA RAMAPPA NAIK,J,735,10,745,0.05,Andhra Pradesh,Ananthapur,19
62,18,KURUBA MALLIKARJUNA.S.,A,574,4,578,0.04,Andhra Pradesh,Ananthapur,19
63,19,B.NAGAMUTHYALU,S,566,4,570,0.04,Andhra Pradesh,Ananthapur,19
64,20,SRINIVASA RAJU.O,B,489,5,494,0.03,Andhra Pradesh,Ananthapur,19
65,21,DURGA PRASAD D BYATARAYANAJI,C,439,5,444,0.03,Andhra Pradesh,Ananthapur,19
66,22,NOTA,N,9014,185,9199,0.64,Andhra Pradesh,Ananthapur,19
67,1,GUMMA THANUJA RANI,Y,471470,5535,477005,40.96,Andhra Pradesh,Araku,1
68,2,KOTHAPALLI GEETHA,B,417113,9312,426425,36.62,Andhra Pradesh,Araku,1
69,3,APPALANARASA PACHIPENTA,C,119016,4113,123129,10.57,Andhra Pradesh,Araku,1
70,4,AVASHYA LAHARI . VARAM,B,24858,892,25750,2.21,Andhra Pradesh,Araku,1
71,5,SAMAREDDY BALAKRISHNA,I,9493,42,9535,0.82,Andhra Pradesh,Araku,1
72,6,NIMMAKA JAYARAJU,I,8798,664,9462,0.81,Andhra Pradesh,Araku,1
73,7,ATHIDHI,I,8121,15,8136,0.7,Andhra Pradesh,Araku,1
74,8,CHANTI BADNAINA,J,7205,47,7252,0.62,Andhra Pradesh,Araku,1
75,9,MOTTADAM . RAJABABU,B,6370,396,6766,0.58,Andhra Pradesh,Araku,1
76,10,RANJITH KUMAR PALAKA,I,6000,47,6047,0.52,Andhra Pradesh,Araku,1
77,11,RAMBABU JALLI,T,4933,26,4959,0.43,Andhra Pradesh,Araku,1
78,12,MANDALA GIRIDHARA RAO,I,4931,36,4967,0.43,Andhra Pradesh,Araku,1
79,13,VUYAKA NIREEKSHAN (V. CHENCHU),I,4500,42,4542,0.39,Andhra Pradesh,Araku,1
80,14,NOTA,N,50205,265,50470,4.33,Andhra Pradesh,Araku,1
81,1,KRISHNA PRASAD TENNETI,T,706757,10736,717493,55.16,Andhra Pradesh,Bapatla,15
82,2,NANDIGAM SURESH BABU,Y,503816,5646,509462,39.17,Andhra Pradesh,Bapatla,15
83,3,J.D. SEELAM,I,41673,1586,43259,3.33,Andhra Pradesh,Bapatla,15
84,4,DOKKA JAGAN MOHANA RAO,B,6774,83,6857,0.53,Andhra Pradesh,Bapatla,15
85,5,NALAMALA TIRUPATI RAO,N,2888,76,2964,0.23,Andhra Pradesh,Bapatla,15
86,6,BUSSA. NAGARAJU,I,1311,7,1318,0.1,Andhra Pradesh,Bapatla,15
87,7,GADDE. VIJAYA LAKSHMI,I,1046,5,1051,0.08,Andhra Pradesh,Bapatla,15
88,8,KATTAPOGU. VIJAY KUMAR,P,893,4,897,0.07,Andhra Pradesh,Bapatla,15
89,9,KONDRU KIRAN KUMAR,I,791,6,797,0.06,Andhra Pradesh,Bapatla,15
90,10,KATTA ANAND BABU,I,704,25,729,0.06,Andhra Pradesh,Bapatla,15
91,11,MERUGUPALA SADASIVA RAO,I,669,4,673,0.05,Andhra Pradesh,Bapatla,15
92,12,KATTA HEMANAND,I,547,2,549,0.04,Andhra Pradesh,Bapatla,15
93,13,PARRE. KOTAIAH,J,408,4,412,0.03,Andhra Pradesh,Bapatla,15
94,14,PALADUG VIJENDRA RAO (BAHUJAN),L,294,12,306,0.02,Andhra Pradesh,Bapatla,15
95,15,CHINNAM MURALIDHAR,A,252,3,255,0.02,Andhra Pradesh,Bapatla,15
96,16,NOTA,N,13599,124,13723,1.06,Andhra Pradesh,Bapatla,15
97,1,DAGGUMALLA PRASADA RAO,T,765536,12535,778071,54.84,Andhra Pradesh,Chittoor,25
98,2,REDDEPPA.N .,Y,552469,5123,557592,39.3,Andhra Pradesh,Chittoor,25
99,3,MOTUKUR JAGAPATHI,I,29431,719,30150,2.12,Andhra Pradesh,Chittoor,25
100,4,THOGURU VIJAYA KUMAR,B,13389,122,13511,0.95,Andhra Pradesh,Chittoor,25
101,5,YUGANDAR . KONDA,I,6889,84,6973,0.49,Andhra Pradesh,Chittoor,25
102,6,K.MUNI KRISHNA,I,3954,2,3956,0.28,Andhra Pradesh,Chittoor,25
103,7,P.JANAKI RAMA RAO ( BABU),N,2822,11,2833,0.2,Andhra Pradesh,Chittoor,25
104,8,PETA.MOHAN .,I,2365,1,2366,0.17,Andhra Pradesh,Chittoor,25
105,9,C.SUDHAKAR,I,1934,1,1935,0.14,Andhra Pradesh,Chittoor,25
106,10,N.CHANDRABABU,I,1878,7,1885,0.13,Andhra Pradesh,Chittoor,25
107,11,MADASI SUDHARSHAN,I,1575,3,1578,0.11,Andhra Pradesh,Chittoor,25
108,12,D.MAHESH,I,1109,10,1119,0.08,Andhra Pradesh,Chittoor,25
109,13,P.MADHU,I,902,4,906,0.06,Andhra Pradesh,Chittoor,25
110,14,N.BHUPATHI,I,862,32,894,0.06,Andhra Pradesh,Chittoor,25
111,15,A. PURNA CHANDRA,I,856,1,857,0.06,Andhra Pradesh,Chittoor,25
112,16,PALLIPATTU.ABHINAV VISHNU,S,670,6,676,0.05,Andhra Pradesh,Chittoor,25
113,17,N.GANGAIAH .,I,547,5,552,0.04,Andhra Pradesh,Chittoor,25
114,18,T NARESH,I,532,2,534,0.04,Andhra Pradesh,Chittoor,25
115,19,BANDAPALLI RAMESH,I,490,3,493,0.03,Andhra Pradesh,Chittoor,25
116,20,NOTA,N,11812,164,11976,0.84,Andhra Pradesh,Chittoor,25
117,1,PUTTA MAHESH KUMAR,T,737644,8707,746351,54,Andhra Pradesh,Eluru,10
118,2,KARUMURI SUNIL KUMAR,Y,559318,5176,564494,40.84,Andhra Pradesh,Eluru,10
119,3,KAVURI LAVANYA,I,19820,1006,20826,1.51,Andhra Pradesh,Eluru,10
120,4,AJAY BABU BODA,N,12197,13,12210,0.88,Andhra Pradesh,Eluru,10
121,5,NITTA AKHILA DHARANI PAL,B,6664,68,6732,0.49,Andhra Pradesh,Eluru,10
122,6,BOKINALA KOTESWARA RAO,I,2253,10,2263,0.16,Andhra Pradesh,Eluru,10
123,7,RUDRAPAKA RATNA RAO (R.R.R),A,1523,3,1526,0.11,Andhra Pradesh,Eluru,10
124,8,KANDAVALLI JEEVA DEVA DAYAKAR,I,1172,8,1180,0.09,Andhra Pradesh,Eluru,10
125,9,AGASTEEN KOMMINA,I,1001,3,1004,0.07,Andhra Pradesh,Eluru,10
126,10,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),L,777,9,786,0.06,Andhra Pradesh,Eluru,10
127,11,RAJESWARA RAO KONDRU,B,729,3,732,0.05,Andhra Pradesh,Eluru,10
128,12,GODUGUPATI VEERA RAGHAVULU,P,710,5,715,0.05,Andhra Pradesh,Eluru,10
129,13,BYRABOYINA MALYADRI,B,705,10,715,0.05,Andhra Pradesh,Eluru,10
130,14,NOTA,N,22371,144,22515,1.63,Andhra Pradesh,Eluru,10
131,1,DR CHANDRA SEKHAR PEMMASANI,T,851020,13928,864948,60.68,Andhra Pradesh,Guntur,13
132,2,KILARI VENKATA ROSAIAH,Y,513563,6690,520253,36.5,Andhra Pradesh,Guntur,13
133,3,JANGALA AJAY KUMAR,C,8317,320,8637,0.61,Andhra Pradesh,Guntur,13
134,4,SIVAREDDY. ENDREDDY,N,5628,1,5629,0.39,Andhra Pradesh,Guntur,13
135,5,TENALI PRAKASH,B,4172,100,4272,0.3,Andhra Pradesh,Guntur,13
136,6,SIKHAKOLLI HEMA GOWRI SHANKAR,J,1959,5,1964,0.14,Andhra Pradesh,Guntur,13
137,7,SAMUDRALA CHINNA KOTAIAH,J,1748,5,1753,0.12,Andhra Pradesh,Guntur,13
138,8,UMAR BHASHA SHAIK,J,1273,2,1275,0.09,Andhra Pradesh,Guntur,13
139,9,SYED. SAIDA,N,1216,6,1222,0.09,Andhra Pradesh,Guntur,13
140,10,AMBATI CHALAMAIAH,P,1029,2,1031,0.07,Andhra Pradesh,Guntur,13
141,11,PILLI BABU RAO,I,688,4,692,0.05,Andhra Pradesh,Guntur,13
142,12,HARI VENKATA SATISH KURNALA,J,540,2,542,0.04,Andhra Pradesh,Guntur,13
143,13,VISHNU REDDY LANKIREDDY,B,461,-,461,0.03,Andhra Pradesh,Guntur,13
144,14,EMANI. CHANDRASEKHAR RAO,N,409,5,414,0.03,Andhra Pradesh,Guntur,13
145,15,SHAIK. KHAJAVALI,I,387,4,391,0.03,Andhra Pradesh,Guntur,13
146,16,CHALLAPALLI RATAN RAJU,V,374,4,378,0.03,Andhra Pradesh,Guntur,13
147,17,KANNEBOYINA VAMSI KRISHNA YADAV,I,368,7,375,0.03,Andhra Pradesh,Guntur,13
148,18,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,A,353,5,358,0.03,Andhra Pradesh,Guntur,13
149,19,GAYATRI AUDHIPUDI,I,350,7,357,0.03,Andhra Pradesh,Guntur,13
150,20,ASHOK ANAND GALI,I,335,-,335,0.02,Andhra Pradesh,Guntur,13
151,21,SHAIK ASLAM AKTHER,I,334,1,335,0.02,Andhra Pradesh,Guntur,13
152,22,PATHAN KHAJA (BASHA),T,328,4,332,0.02,Andhra Pradesh,Guntur,13
153,23,AMARTHALURI VENKATESWARA RAO.,M,308,4,312,0.02,Andhra Pradesh,Guntur,13
154,24,DR. RAYAPUDI RAJESH VIJAY KUMAR,I,306,4,310,0.02,Andhra Pradesh,Guntur,13
155,25,BURAGA RATNAM,L,304,12,316,0.02,Andhra Pradesh,Guntur,13
156,26,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,I,268,-,268,0.02,Andhra Pradesh,Guntur,13
157,27,SIVA PARVATHI,I,262,4,266,0.02,Andhra Pradesh,Guntur,13
158,28,BOMMASANI MUTYALA RAO,A,200,7,207,0.01,Andhra Pradesh,Guntur,13
159,29,SRIKRISHNA AKKISETTI,I,179,-,179,0.01,Andhra Pradesh,Guntur,13
160,30,MADAVARAPU NAGA RAJU,I,172,-,172,0.01,Andhra Pradesh,Guntur,13
161,31,NOTA,N,7210,177,7387,0.52,Andhra Pradesh,Guntur,13
162,1,B K PARTHASARATHI,T,713013,12521,725534,51.23,Andhra Pradesh,Hindupur,20
163,2,J SHANTHA,Y,587406,5701,593107,41.88,Andhra Pradesh,Hindupur,20
164,3,B A SAMAD SHAHEEN,I,53989,1070,55059,3.89,Andhra Pradesh,Hindupur,20
165,4,BHAGYA R S,B,7949,66,8015,0.57,Andhra Pradesh,Hindupur,20
166,5,PRATHAP REDDY GORLA,I,5380,64,5444,0.38,Andhra Pradesh,Hindupur,20
167,6,H D HANUMANTHE GOWD,I,2270,8,2278,0.16,Andhra Pradesh,Hindupur,20
168,7,ANJINAPPA GARI SREENIVASULU,R,2045,6,2051,0.14,Andhra Pradesh,Hindupur,20
169,8,S N SURESH,I,1611,20,1631,0.12,Andhra Pradesh,Hindupur,20
170,9,DASAGANIPALLI KULLAYAPPA,I,1317,11,1328,0.09,Andhra Pradesh,Hindupur,20
171,10,ASHOK,S,1282,10,1292,0.09,Andhra Pradesh,Hindupur,20
172,11,T SUDHAKAR REDDY,I,1227,10,1237,0.09,Andhra Pradesh,Hindupur,20
173,12,S RAGHUNATHA REDDY,I,693,17,710,0.05,Andhra Pradesh,Hindupur,20
174,13,BUDILI DHANUNJAYA,N,679,3,682,0.05,Andhra Pradesh,Hindupur,20
175,14,NOTA,N,17826,145,17971,1.27,Andhra Pradesh,Hindupur,20
176,1,Y. S. AVINASH REDDY,Y,598406,6737,605143,45.78,Andhra Pradesh,Kadapa,21
177,2,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,T,532358,10090,542448,41.03,Andhra Pradesh,Kadapa,21
178,3,Y.S. SHARMILA REDDY,I,136395,4644,141039,10.67,Andhra Pradesh,Kadapa,21
179,4,PANDITI. GURAPPA.,B,3790,20,3810,0.29,Andhra Pradesh,Kadapa,21
180,5,VENU GOPAL RACHINENI,R,3500,70,3570,0.27,Andhra Pradesh,Kadapa,21
181,6,CHINNAPUREDDY GOPALA KRISHNA REDDY,I,2414,16,2430,0.18,Andhra Pradesh,Kadapa,21
182,7,KUNCHAM. VENKATA SUBBA REDDY,R,2329,4,2333,0.18,Andhra Pradesh,Kadapa,21
183,8,L. KHAJA HUSSAIN,I,1087,1,1088,0.08,Andhra Pradesh,Kadapa,21
184,9,ANKIREDDY. SURESH KUMAR REDDY.,A,752,3,755,0.06,Andhra Pradesh,Kadapa,21
185,10,KAKARLA SHANMUKHA REDDY,I,633,14,647,0.05,Andhra Pradesh,Kadapa,21
186,11,PALLE RAMESH,J,619,5,624,0.05,Andhra Pradesh,Kadapa,21
187,12,CHAN BASHA. S,A,432,7,439,0.03,Andhra Pradesh,Kadapa,21
188,13,J. V. RAMANA,J,414,20,434,0.03,Andhra Pradesh,Kadapa,21
189,14,MALIKIREDDY. HANUMANTHA REDDY,J,358,11,369,0.03,Andhra Pradesh,Kadapa,21
190,15,NOTA,N,16660,186,16846,1.27,Andhra Pradesh,Kadapa,21
191,1,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),J,718971,10728,729699,54.87,Andhra Pradesh,Kakinada,6
192,2,CHALAMALASETTY SUNIL,Y,495188,5020,500208,37.62,Andhra Pradesh,Kakinada,6
193,3,MALLIPUDI MANGAPATI PALLAM RAJU,I,20258,851,21109,1.59,Andhra Pradesh,Kakinada,6
194,4,UDAY,N,15578,125,15703,1.18,Andhra Pradesh,Kakinada,6
195,5,KANDREGULA NARASIMHAM,B,11916,63,11979,0.9,Andhra Pradesh,Kakinada,6
196,6,DR ANUSHA YADAV,B,9818,36,9854,0.74,Andhra Pradesh,Kakinada,6
197,7,TANGELLA SRINIVASU,J,6516,43,6559,0.49,Andhra Pradesh,Kakinada,6
198,8,YEDIDA VARA PRASAD KUMAR,R,3924,3,3927,0.3,Andhra Pradesh,Kakinada,6
199,9,BUGATHA BANGARRAO,C,2816,7,2823,0.21,Andhra Pradesh,Kakinada,6
200,10,SUDHA VEERA GANESH,I,2645,2,2647,0.2,Andhra Pradesh,Kakinada,6
201,11,BHAVANI SANKAR PRASAD MERLA,I,1963,6,1969,0.15,Andhra Pradesh,Kakinada,6
202,12,YENUGUPALLI KRISHNA,J,1762,18,1780,0.13,Andhra Pradesh,Kakinada,6
203,13,BODDETI APPARAO,I,1687,-,1687,0.13,Andhra Pradesh,Kakinada,6
204,14,NEELAKANTAM DONAM,I,1401,11,1412,0.11,Andhra Pradesh,Kakinada,6
205,15,PASUPULETI S.V.S.BHUSHANAM,I,1222,5,1227,0.09,Andhra Pradesh,Kakinada,6
206,16,NOTA,N,17105,115,17220,1.29,Andhra Pradesh,Kakinada,6
207,1,BASTIPATI NAGARAJU PANCHALINGALA,T,650335,8579,658914,49.51,Andhra Pradesh,Kurnoolu,18
208,2,B Y RAMAIAH,Y,543801,3815,547616,41.15,Andhra Pradesh,Kurnoolu,18
209,3,P.G.RAMPULLAIAH YADAV LUCKY-2,I,68972,1401,70373,5.29,Andhra Pradesh,Kurnoolu,18
210,4,MANCHALA LAKSHMI NARAYANA,B,8533,56,8589,0.65,Andhra Pradesh,Kurnoolu,18
211,5,BOYA SURESH,I,5891,9,5900,0.44,Andhra Pradesh,Kurnoolu,18
212,6,T. BEECHUPALLI,I,5125,2,5127,0.39,Andhra Pradesh,Kurnoolu,18
213,7,VIJAYA BHASKAR .REDDYPOGU,I,3504,4,3508,0.26,Andhra Pradesh,Kurnoolu,18
214,8,PAGADALA KODANDA,I,3070,6,3076,0.23,Andhra Pradesh,Kurnoolu,18
215,9,DEVARAPOGU MADDILETY,I,2576,6,2582,0.19,Andhra Pradesh,Kurnoolu,18
216,10,PRAKASH REDDY RALAMPADU,I,2222,3,2225,0.17,Andhra Pradesh,Kurnoolu,18
217,11,JAHANGIR AHMED,S,2058,16,2074,0.16,Andhra Pradesh,Kurnoolu,18
218,12,DR. REDDYPOGU PRAVEEN KUMAR,I,1847,9,1856,0.14,Andhra Pradesh,Kurnoolu,18
219,13,ABDUL SATTAR A.S.R,A,1565,36,1601,0.12,Andhra Pradesh,Kurnoolu,18
220,14,VALMIKI ARJUNA,B,1385,5,1390,0.1,Andhra Pradesh,Kurnoolu,18
221,15,URUKUNDU VADDE,I,1284,11,1295,0.1,Andhra Pradesh,Kurnoolu,18
222,16,MALLEPOGU NAGANNA,S,1162,2,1164,0.09,Andhra Pradesh,Kurnoolu,18
223,17,SUNKARA SREEDHAR,J,1149,14,1163,0.09,Andhra Pradesh,Kurnoolu,18
224,18,TARIGOPULA RAJABABU,A,1032,1,1033,0.08,Andhra Pradesh,Kurnoolu,18
225,19,AMRUTH KUMAR SALKAPURAM,L,777,6,783,0.06,Andhra Pradesh,Kurnoolu,18
226,20,NOTA,N,10394,117,10511,0.79,Andhra Pradesh,Kurnoolu,18
227,1,BALASHOWRY VALLABHANENI,J,712149,12290,724439,55.22,Andhra Pradesh,Machilipatnam,11
228,2,SIMHADRI CHANDRA SEKHAR RAO,Y,495211,6049,501260,38.21,Andhra Pradesh,Machilipatnam,11
229,3,GOLLU KRISHNA,I,31130,695,31825,2.43,Andhra Pradesh,Machilipatnam,11
230,4,BAAL SHOURI CHODABATHINA,J,10518,623,11141,0.85,Andhra Pradesh,Machilipatnam,11
231,5,DEVAMANI DEVARAPALLI,B,9911,117,10028,0.76,Andhra Pradesh,Machilipatnam,11
232,6,KOMMARAJU SIVA NARASIMHA RAO,A,5245,9,5254,0.4,Andhra Pradesh,Machilipatnam,11
233,7,VALLABHANENI NAGA PAVAN KUMAR,I,5206,14,5220,0.4,Andhra Pradesh,Machilipatnam,11
234,8,MARADANI K R SWAMY,J,2206,8,2214,0.17,Andhra Pradesh,Machilipatnam,11
235,9,GANDHI DHANEKULA,I,1989,2,1991,0.15,Andhra Pradesh,Machilipatnam,11
236,10,PAMULA BALA SOWRYAMMA,I,1576,6,1582,0.12,Andhra Pradesh,Machilipatnam,11
237,11,ANUSHA YERUVA,I,1233,2,1235,0.09,Andhra Pradesh,Machilipatnam,11
238,12,GUDAVALLI VENKATA KEDARESWARA RAO,I,1102,9,1111,0.08,Andhra Pradesh,Machilipatnam,11
239,13,JOGI VEERANJANEYULU,I,1020,2,1022,0.08,Andhra Pradesh,Machilipatnam,11
240,14,DAMODARA RAO GUDAVALLI,I,928,2,930,0.07,Andhra Pradesh,Machilipatnam,11
241,15,APPARAO ENNETI,I,625,1,626,0.05,Andhra Pradesh,Machilipatnam,11
242,16,NOTA,N,12008,118,12126,0.92,Andhra Pradesh,Machilipatnam,11
243,1,DR BYREDDY SHABARI,T,689417,11714,701131,49.92,Andhra Pradesh,Nandyal,17
244,2,POCHA BRAHMANANDA REDDY,Y,583155,6001,589156,41.95,Andhra Pradesh,Nandyal,17
245,3,J LAKSHMI NARASIMHA YADAV,I,54920,1284,56204,4,Andhra Pradesh,Nandyal,17
246,4,P GURUVAIAH,I,8190,1,8191,0.58,Andhra Pradesh,Nandyal,17
247,5,A CHINNA MOULALI,B,7768,63,7831,0.56,Andhra Pradesh,Nandyal,17
248,6,HAFIZ ATAULLAH KHAN,S,6858,74,6932,0.49,Andhra Pradesh,Nandyal,17
249,7,KOMMUSANI PEDDA KAMBAGIRI SWAMY,I,4633,-,4633,0.33,Andhra Pradesh,Nandyal,17
250,8,GAGGERA VENKATA RAMANAIAH,I,3027,4,3031,0.22,Andhra Pradesh,Nandyal,17
251,9,DUMAVATH SWAMY NAIK,I,2348,10,2358,0.17,Andhra Pradesh,Nandyal,17
252,10,KUNUKUNTLA RAMUDU,I,1408,5,1413,0.1,Andhra Pradesh,Nandyal,17
253,11,E ANIL KUMAR,I,1332,2,1334,0.09,Andhra Pradesh,Nandyal,17
254,12,C SURENDRA NATHA REDDY,I,1267,1,1268,0.09,Andhra Pradesh,Nandyal,17
255,13,BRAHMANANDA REDDY K,I,1261,11,1272,0.09,Andhra Pradesh,Nandyal,17
256,14,UPPU SUBBARAYUDU,J,785,6,791,0.06,Andhra Pradesh,Nandyal,17
257,15,NAGESWARA RAO,I,678,2,680,0.05,Andhra Pradesh,Nandyal,17
258,16,VIJAYA BHASKAR REDDYPOGU,I,641,-,641,0.05,Andhra Pradesh,Nandyal,17
259,17,YELAMPALLE GOVARDHAN REDDY,A,638,4,642,0.05,Andhra Pradesh,Nandyal,17
260,18,BHUMA VEERA BHADRA REDDY,N,630,16,646,0.05,Andhra Pradesh,Nandyal,17
261,19,PANDU RANGA YADAV SIDDAPU,S,594,11,605,0.04,Andhra Pradesh,Nandyal,17
262,20,CHANDINI REDDY VAKATI,L,546,10,556,0.04,Andhra Pradesh,Nandyal,17
263,21,B C RAMANADHA AREDDY,I,472,-,472,0.03,Andhra Pradesh,Nandyal,17
264,22,GAJULA SHALIMIYA,A,468,18,486,0.03,Andhra Pradesh,Nandyal,17
265,23,KULURU RAMA KRISHNA REDDY,N,428,2,430,0.03,Andhra Pradesh,Nandyal,17
266,24,CH P MALLESWARUDU,I,417,4,421,0.03,Andhra Pradesh,Nandyal,17
267,25,I V PAKKIR REDDY,I,408,2,410,0.03,Andhra Pradesh,Nandyal,17
268,26,V MADHUSUDHANA REDDY,I,399,2,401,0.03,Andhra Pradesh,Nandyal,17
